Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Natural Gas $/GJ,Service Area
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate August 2023","08/01/2023","08/31/2023","0",="3.368","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2002","09/30/2002","1",="4.03","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2003","09/30/2003","1",="6.32","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2004","09/30/2004","1",="6.53","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2005","09/30/2005","1",="9.64","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2006","09/30/2006","1",="6.7","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2007","09/30/2007","1",="4.57","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2008","09/30/2008","1",="5.12","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2009","09/30/2009","1",="2.34","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2010","09/30/2010","1",="3.58","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2011","09/30/2011","1",="3.34","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2012","09/30/2012","1",="1.83","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2013","09/30/2013","1",="2.32","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2014","09/30/2014","1",="3.35","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","09/01/2015","09/30/2015","1",="3.36","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Gas Rate September 2016","09/01/2016","09/30/2016","0",="2.351","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate September 2017","09/01/2017","09/30/2017","0",="1.434","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate September 2018","09/01/2018","09/30/2018","0",="1.321","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate September 2019","09/01/2019","09/30/2019","0",="1.166","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate September 2020","09/01/2020","09/30/2020","0",="2.492","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate Sep 2021","09/01/2021","09/30/2021","0",="3.454","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate September 2023","09/01/2023","09/30/2023","0",="2.724","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2002","10/31/2002","1",="5.02","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2003","10/31/2003","1",="5.05","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2004","10/31/2004","1",="5.11","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2005","10/31/2005","1",="11.81","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2006","10/31/2006","1",="4.1","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2007","10/31/2007","1",="5.12","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2008","10/31/2008","1",="5.31","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2009","10/31/2009","1",="3.3","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2010","10/31/2010","1",="3.63","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2011","10/31/2011","1",="3.6","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2012","10/31/2012","1",="2.51","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2013","10/31/2013","1",="2.43","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2014","10/31/2014","1",="4.15","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","10/01/2015","10/31/2015","1",="2.61","ATCO Gas North"
"Direct Energy Regulated Services","Home","Regulated Gas Rate October 2016","10/01/2016","10/31/2016","0",="2.659","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate October 2017","10/01/2017","10/31/2017","0",="1.682","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate October 2018","10/01/2018","10/31/2018","0",="1.322","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate October 2019","10/01/2019","10/31/2019","0",="1.447","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate October 2020","10/01/2020","10/31/2020","0",="2.251","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate Oct 2021","10/01/2021","10/31/2021","0",="4.079","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate October 2022","10/01/2022","10/31/2022","0",="4.595","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate October 2023","10/01/2023","10/31/2023","0",="2.522","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2002","11/30/2002","1",="5.52","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2003","11/30/2003","1",="5.34","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2004","11/30/2004","1",="7.91","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2005","11/30/2005","1",="12.74","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2006","11/30/2006","1",="6.95","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2007","11/30/2007","1",="5.45","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2008","11/30/2008","1",="7.17","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2009","11/30/2009","1",="4.62","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2010","11/30/2010","1",="3.24","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2011","11/30/2011","1",="3.3","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2012","11/30/2012","1",="3.54","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2013","11/30/2013","1",="3.72","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2014","11/30/2014","1",="3.69","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","11/01/2015","11/30/2015","1",="2.42","ATCO Gas North"
"Direct Energy Regulated Services","Home","Regulated Gas Rate November 2016","11/01/2016","11/30/2016","0",="3.303","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate November 2017","11/01/2017","11/30/2017","0",="1.825","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate November 2018","11/01/2018","11/30/2018","0",="2.369","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate November 2019","11/01/2019","11/30/2019","0",="2.524","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate November 2020","11/01/2020","11/30/2020","0",="3.277","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate Nov 2021","11/01/2021","11/30/2021","0",="5.328","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate November 2022","11/01/2022","11/30/2022","0",="5.641","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate November 2023","11/01/2023","11/30/2023","0",="2.85","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2002","12/31/2002","1",="5.31","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2003","12/31/2003","1",="5.24","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2004","12/31/2004","1",="7.05","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2005","12/31/2005","1",="9.22","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2006","12/31/2006","1",="8.28","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2007","12/31/2007","1",="6.33","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2008","12/31/2008","1",="7.21","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2009","12/31/2009","1",="3.98","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2010","12/31/2010","1",="4.05","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2011","12/31/2011","1",="3.3","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2012","12/31/2012","1",="3.58","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2013","12/31/2013","1",="3.3","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2014","12/31/2014","1",="4.18","ATCO Gas North"
"Direct Energy Regulated Services","Home,Small Business,Farm","Regulated Rate Option","12/01/2015","12/31/2015","1",="2.2","ATCO Gas North"
"Direct Energy Regulated Services","Home","Regulated Gas Rate December 2016","12/01/2016","12/31/2016","0",="2.579","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home","Regulated Gas Rate December 2017","12/01/2017","12/31/2017","0",="2.303","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate December 2018","12/01/2018","12/31/2018","0",="2.004","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate December 2019","12/01/2019","12/31/2019","0",="3.089","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate December 2020","12/01/2020","12/31/2020","0",="2.705","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate Dec 2021","12/01/2021","12/31/2021","0",="4.936","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate December 2022","12/01/2022","12/31/2022","0",="6.14","ATCO Electric,ATCO Gas North,ATCO Gas South"
"Direct Energy Regulated Services","Home,Small Business,Farm","DERS Regulated Gas Rate December 2023","12/01/2023","12/31/2023","0",="2.902","ATCO Electric,ATCO Gas North,ATCO Gas South"
